Code Dept,Total
RD1,653688
RD2,528016
RD3,333065
RD4,161980
RD5,141784
RD6,1080899
RD7,327011
RD8,267409
RD9,152340
10,309117
11,368011
12,277900
13,2035410
14,691676
15,143627
16,350240
17,646016
18,300174
19,240973
2A,158800
2B,180378
21,532901
22,596518
23,117340
24,409548
25,539465
26,517414
27,606419
28,431437
29,905238
30,745756
31,1390496
32,189326
33,1620243
34,1165412
35,1076330
36,217312
37,608387
38,1262108
39,258624
40,409325
41,330727
42,762222
43,226835
44,1425592
45,678722
46,171770
47,330159
48,75700
49,815325
50,492627
51,567225
52,173041
53,305021
54,731753
55,184474
56,751309
57,1036153
58,201518
59,2592185
60,825207
61,279755
62,1463196
63,656643
64,679354
65,225219
66,481691
67,1126505
68,761480
69,1882339
70,233394
71,549763
72,561583
73,432716
74,829017
75,2140526
76,1248590
77,1421735
78,1436581
79,374873
80,569662
81,387638
82,261558
83,1075649
84,563751
85,679024
86,437368
87,371575
88,361031
89,336532
90,143104
91,1314827
92,1606088
93,1654477
94,1395209
95,1243921
971,382704
972,364354
973,296711
974,866506
976,270372
