CODE POSTAL,NOM DE LA COMMUNE,Geometry X Y,latitude,longitude
33710,TEUILLAC,"45.0962146262,-0.547066877584",45.0962146262,-0.547066877584
33140,VILLENAVE D ORNON,"44.773185218,-0.558212256384",44.773185218,-0.558212256384
34310,CAPESTANG,"43.3217608814,3.04813542922",43.3217608814,3.04813542922
34320,GABIAN,"43.5181480219,3.26449755932",43.5181480219,3.26449755932
34725,JONQUIERES,"43.673901625,3.47813467686",43.673901625,3.47813467686
34800,LIAUSSON,"43.6402749752,3.36044063892",43.6402749752,3.36044063892
34570,MURVIEL LES MONTPELLIER,"43.6095675101,3.73935842429",43.6095675101,3.73935842429
34380,NOTRE DAME DE LONDRES,"43.8324773443,3.75718423369",43.8324773443,3.75718423369
34390,VIEUSSAN,"43.5401854893,3.00065269263",43.5401854893,3.00065269263
35580,BAULON,"47.9948578338,-1.92813623016",47.9948578338,-1.92813623016
35150,BOISTRUDAN,"47.9757827279,-1.39686798859",47.9757827279,-1.39686798859
35133,LA CHAPELLE JANSON,"48.3352768083,-1.08530349718",48.3352768083,-1.08530349718
35310,CINTRE,"48.108708615,-1.88667263001",48.108708615,-1.88667263001
35330,COMBLESSAC,"47.872461539,-2.08792248915",47.872461539,-2.08792248915
42260,BULLY,"45.9292601554,3.99269700935",45.9292601554,3.99269700935
42380,LA CHAPELLE EN LAFAYE,"45.4593011559,3.98511801378",45.4593011559,3.98511801378
42540,CROIZET SUR GAND,"45.9126247194,4.21879856118",45.9126247194,4.21879856118
42600,MORNAND EN FOREZ,"45.6717929888,4.11953674559",45.6717929888,4.11953674559
42470,NEAUX,"45.9582864228,4.16729809028",45.9582864228,4.16729809028
42510,ST GEORGES DE BAROILLE,"45.8535792416,4.10712450945",45.8535792416,4.10712450945
42590,ST PRIEST LA ROCHE,"45.9201905216,4.10633617946",45.9201905216,4.10633617946
42130,ST SIXTE,"45.7724079231,3.9742199747",45.7724079231,3.9742199747
42111,ST THURIN,"45.818834546,3.88477929539",45.818834546,3.88477929539
