Code Postal,Commune,Population,Code Département,latitude,longitude
R1000,BOURG EN BRESSE,39600.0,R1,46.2051520382,5.24602125501
R1000,SAINT DENIS LES BOURG,5400.0,R1,46.211199845299994,5.184628067709999
R1090,GENOUILLEUX,600.0000000000001,R1,46.120161172799996,4.79288195016
R1090,GUEREINS,1300.0,R1,46.106624673999995,4.78159420118
R1090,MONTCEAUX,1100.0,R1,46.0962893261,4.80453564172
R1090,LURCY,400.0,R1,46.06173003399999,4.780752070259999
R1090,MONTMERLE SUR SAONE,3800.0,R1,46.084957323599994,4.7608579486
R1090,FRANCHELEINS,1300.0,R1,46.0735946256,4.81293575559
R1100,OYONNAX,22900.0,R1,46.2605435859,5.65344320923
R1100,ARBENT,3500.0,R1,46.2834936005,5.690616512209999
R1100,APREMONT,400.0,R1,46.2054981558,5.657814752719999
R1100,BELLIGNAT,3500.0,R1,46.2373497134,5.636005288400002
R1100,GROISSIAT,1100.0,R1,46.2260039429,5.61095413441
R1100,GEOVREISSET,900.0,R1,46.250862161499995,5.612719739149999
R1100,MARTIGNAT,1600.0,R1,46.2030768095,5.613840338049999
R1110,THEZILLIEU,300.00000000000006,R1,45.893188359300005,5.59700638944
R1110,CORCELLES,200.0,R1,46.0399740208,5.5733764339
R1110,PREMILLIEU,0.0,R1,45.876457149,5.56475010385
R1110,ARANC,300.00000000000006,R1,46.0015344029,5.51130637511
R1110,HOSTIAZ,100.0,R1,45.9061631889,5.54077986031
R1110,CORMARANCHE EN BUGEY,900.0,R1,45.94427728260001,5.60860828487
R1110,BRENOD,500.0,R1,46.0759940484,5.61418361314
R1110,CHAMPDOR,500.0,R1,46.019884418800004,5.60008759722
R1110,HAUTEVILLE LOMPNES,4100.0,R1,45.9696520061,5.57627261783
R1110,CORLIER,100.0,R1,46.033688557299996,5.496357550290001
R1120,LA BOISSE,2900.0,R1,45.8446213549,5.02783224111
R1120,DAGNEUX,4000.0,R1,45.853161691800004,5.0728916680300005
R1120,THIL,1100.0,R1,45.8169214201,5.0184098869
R1120,SAINTE CROIX,500.0,R1,45.895522477,5.04935536228
R1120,MONTLUEL,6900.0,R1,45.8909006209,5.01987566185
R1120,PIZAY,800.0,R1,45.892850958100006,5.08915465965
R1120,NIEVROZ,1500.0,R1,45.8222941077,5.05949629195
R1130,GIRON,200.0,R1,46.222712119099995,5.78049809256
R1130,LALLEYRIAT,200.0,R1,46.1479592076,5.71829194244
R1130,CHARIX,300.00000000000006,R1,46.1856344066,5.6811896084
R1130,LES NEYROLLES,700.0000000000001,R1,46.134293711400005,5.63714517869
R1130,ECHALLON,800.0,R1,46.2271364137,5.73330448395
R1130,NANTUA,3600.0,R1,46.153784540299995,5.61352793799
R1130,BELLEYDOUX,300.00000000000006,R1,46.25303164090001,5.784717236980001
R1130,LE POIZAT,400.0,R1,46.14329504729999,5.67440958637
R1130,PLAGNE,100.0,R1,46.188303842299995,5.71763811249
R1130,SAINT GERMAIN DE JOUX,500.0,R1,46.1821955394,5.74672259773
R1140,THOISSEY,1500.0,R1,46.1700943481,4.79387095814
R1140,MOGNENEINS,700.0000000000001,R1,46.1446696076,4.820110702
R1140,ILLIAT,600.0000000000001,R1,46.1866986838,4.88840344003
R1140,PEYZIEUX SUR SAONE,400.0,R1,46.122633185299996,4.822432267190001
R1140,SAINT DIDIER SUR CHALARONNE,2700.0,R1,46.1840408682,4.81645666173
R1140,VALEINS,100.0,R1,46.1146467438,4.865516968680001
R1140,GARNERANS,600.0000000000001,R1,46.2136224825,4.828431887430001
R1140,SAINT ETIENNE SUR CHALARONNE,1500.0,R1,46.1468059584,4.86696454244
